date,mean_demand,max_demand,min_demand
2020-11-05,29875.666666666668,35897,24303
2020-11-06,29640.458333333332,35998,24748
2020-11-07,26604.916666666668,33188,22919
2020-11-08,25127.458333333332,30412,22340
2020-11-09,27362.625,31441,23673
2020-11-10,29061.666666666668,34182,25411
2020-11-11,28601.166666666668,33972,24742
2020-11-12,28483.583333333332,33500,24545
2020-11-13,28912.958333333332,33723,24651
2020-11-14,27097.416666666668,33672,23840
2020-11-15,25597.208333333332,31067,22847
2020-11-16,27103.541666666668,31045,22645
2020-11-17,28619.875,34497,23387
2020-11-18,28410.166666666668,34146,23540
2020-11-19,28420.333333333332,33671,23928
2020-11-20,28712.041666666668,33733,24460
2020-11-21,27336.375,33387,24136
2020-11-22,26183.0,31708,23405
2020-11-23,27779.458333333332,31589,23880
2020-11-24,28859.583333333332,34107,24964
